price,Brand,Series,Model,Interface,Chipset Manufacturer,GPU Series,GPU,Core Clock,Boost Clock,CUDA Cores,Effective Memory Clock,Memory Size,Memory Interface,Memory Type,DirectX,OpenGL,HDMI,Multi-Monitor Support,DisplayPort,Other Ports,Max Resolution,SLI Support,Virtual Reality Ready,Cooler,Thermal Design Power,System Requirements,Power Connector,HDCP Ready,Features,Max GPU Length,Card Dimensions (L x H),Slot Width,Package Contents,Date First Available,Operating Systems Supported,DVI,Dual-Link DVI Supported,Form Factor,Option,Edition,Low Profile Bracket Included,D-SUB,RAMDAC,Shader Clock,Stream Processors,CrossFireX Support,3D VISION Game Ready,RoHS Compliant,Thunderbolt 3,TV-Out,CATV,PixelPipelines,VIVO,Tuner,Windows Vista,Mac Edition,Eyefinity Support,
202.99,ZOTAC,None,ZT-T16600K-10M,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce GTX 16 Series,GeForce GTX 1660,None,1785 MHz,1408,8.0 Gbps,6GB,192-Bit,GDDR5,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,DisplayPort 1.4: up to 7680x4320 @ 60HzHDMI 2.0b: up to 3840x2160 @ 60Hz,No,Yes,Double Fans,120W,Recommended Power Supply: 450W,8-Pin,Yes,Super Compact4K  VR and HDR ReadyDual Fans,216 mm,8.50" x 4.38",Dual Slot,ZOTAC GAMING GeForce GTX 1660 graphics cardUser Manual,November 01  2019,Windows 10 / 7 64-bit  Linux 64-bit,None,None,ATX,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
349.99,EVGA,None,06G-P4-2067-KR,PCI Express 3.0,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2060,None,1755 MHz,1920,14000 MHz,6GB,192-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,3,1 x DisplayPort 1.4,None,7680 x 4320,None,Yes,Double Fans,160W,500-Watt or greater power supplyPCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot,One available 8-pin PCIe power dongle,2.2,NVIDIA AnselReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API  Vulkan API  OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1,268 mm,10.55" x 4.38",Dual Slot,None,March 25  2019,Windows 10 64-bit  Windows 7 64-bit,1 x Dual-Link DVI-D,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
209.99,MSI,None,GTX 1660 VENTUS XS 6G OC,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce GTX 16 Series,GeForce GTX 1660,None,1830 MHz,1408,8 Gbps,6GB,192-Bit,GDDR5,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,None,Yes,Double Fans,130W,Recommended PSU: 450W,8-Pin,2.2,TORX Fan 2.0Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Afterburner Overclocking UtilityOC Scanner: An automated function finds the highest stable overclock settings.Kombustor: The latest DirectX versions benchmark supporting.Predator: In-game video recording.GeForce ExperienceCapture and share videos  screenshots  and livestreams with friends. Keep your drivers up to date and optimize your game settings.NVIDIA AnselA powerful photo mode that lets you take professional-grade photographs of your games.,204 mm,8.03" x 5.04",Dual Slot,None,February 26  2019,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
584.99,ASUS,ROG STRIX,ROG-STRIX-RTX2070S-A8G-GAMING,PCI Express 3.0,NVIDIA,None,GeForce RTX 2070 SUPER,OC mode: 1635 MHzGaming mode: 1605 MHz,OC mode: 1830 MHzGaming mode: 1800 MHz,2560,14000 MHz,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.6,2 x HDMI 2.0b,4,2 x DisplayPort 1.4,1 x USB Type-C,7680 x 4320,SLI Ready,Yes,Triple Fans,215W,Recommended PSU: 650W,2 x 8-Pin,2.2,RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows  reflections  refractions  and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed  high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the three powerful Axial-tech fans.Dual BIOS switch lets you toggle between Quiet and Performance BIOS profiles sans software.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes  solid polymer capacitors  and an array of high-current power stages.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.A reinforced frame prevents excessive torsion and lateral bending of the PCB.GPU Tweak II provides intuitive performance tweaking  thermal controls  and system monitoring.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.,300 mm,11.80" x 5.13",2.7 slot,Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop,January 14  2020,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
999.99,ASUS,ROG Strix,ROG-STRIX-RTX2080TI-11G-GAMING,PCI Express 3.0,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2080 Ti,1350 MHz,OC Mode: 1560 MHz Gaming Mode (Default): 1545 MHz,4352,14000 MHz,11GB,352-Bit,GDDR6,DirectX 12,OpenGL 4.6,2 x HDMI 2.0b,4,2 x DisplayPort 1.4,1 x USB Type-C,7680 x 4320,SLI Ready,Yes,Triple Fans,250W,Recommended PSU: 650W,2 x 8-Pin,2.2,NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area by over 20% compared to last gen.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes  solid polymer capacitors  and an array of high-current power stages to fuel Turing's cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.,305 mm,12.00" x 5.13",2.7-slot,Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop1 x CD,November 23  2018,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
529.99,MSI,None,RTX 2070 Super GAMING X,PCI Express 3.0 x16,NVIDIA,None,GeForce RTX 2070 SUPER,None,1800 MHz,2560,14 Gbps,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,NVIDIA NVLink (SLI-Ready)  2-way,Yes,Double Fans,215W,Pwr Supply: 650W,1 x 6-Pin  1 x 8-Pin,2.2,Twin Frozr 7 Thermal DesignTORX Fan 3.0 with Double Ball Bearings- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation  keeping your temperatures low and performance high.Zero Frozr technology: Stopping the fan in low-load situations  keeping a noise-free environment.RGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.Dragon CenterA consolidated platform that offers all software including MYSTIC LIGHT functionality for your MSI Gaming product.,297 mm,11.69" x 5.63",None,None,October 02  2019,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
739.99,MSI,None,RTX 2080 Super Gaming X TRIO,PCI Express 3.0 x16,NVIDIA,None,GeForce RTX 2080 SUPER,None,1845 MHz,3072,15.5 Gbps,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,1 x USB-C,7680 x 4320,NVIDIA NVLink (SLI-Ready)  2-way,Yes,Triple Fans,250W,Recommended PSU: 650W,2 x 8-Pin,2.2,TORX FAN 3.0: Supremely silentDispersion fan blade: Steeper curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.TRI-FROZR Thermal DesignUsing three of the award-winning TORX Fans 3.0 with Double Ball Bearings.Using groundbreaking aerodynamic techniques  the heatsink is optimized for efficient heat dissipation.RGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.Dragon CenterA consolidated platform that offers all software including MYSTIC LIGHT functionality for your MSI Gaming product.,328 mm,12.91" x 5.51",None,None,July 19  2019,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
719.99,EVGA,None,08G-P4-3081-KR,PCI Express 3.0,NVIDIA,None,GeForce RTX 2080 SUPER,None,1815 MHz,3072,15500 MHz,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,1 x USB Type-C VirtualLink,7680 x 4320,2-Way SLI,Yes,Double Fans,250W,650W or greater power supply.PCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.,1 x 6-Pin  1 x 8-Pin,2.2,NVIDIA AnselReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API  Vulkan API  OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink,270 mm,10.62" x 4.38",Dual Slot,None,July 18  2019,Windows 10 (64-bit)  Windows 7 (64-bit),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
419.99,EVGA,None,08G-P4-3067-KR,PCI Express 3.0,NVIDIA,None,GeForce RTX 2060 SUPER,None,1680 MHz,2176,14000 MHz,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,2 x DisplayPort 1.4,None,7680 x 4320,No,Yes,Double Fans,175W,550W or greater power supply.PCI Express  PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.,One available 8-pin PCIe power dongle,2.2,NVIDIA AnselAll-Metal Backplate  Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversNVIDIA GPU BoostBuilt for EVGA Precision X1,270 mm,10.62" x 4.38",Dual Slot,None,June 28  2019,Windows 10 (64-bit)  Windows 7 (64-bit),1 x DL-DVI-D,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
239.99,ASUS,ROG STRIX,ROG-STRIX-GTX1060-A6G-GAMING,PCI Express 3.0,NVIDIA,NVIDIA GeForce GTX 10 Series,GeForce GTX 1060,OC Mode: 1544 MHzGaming Mode (Default): 1518 MHz,OC Mode: 1759 MHz Gaming Mode (Default): 1733 MHz,1280,8008 MHz,6GB,192-Bit,GDDR5,DirectX 12,OpenGL 4.5,2 x HDMI 2.0,4,2 x DisplayPort 1.4,None,7680 x 4320,No,Yes,Triple Fans,120W,Recommended PSU: 500W,None,Yes,Auto Extreme Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components.GPU Tweak II makes monitoring performance and streaming easier than ever  featuring Game Booster and XSplit Gamecaster  all via an intuitive interface.DIRECTCU III incorporates direct GPU contact heat pipes with Unique Triple Wing-Blade 0dB Fan Design  delivering 30% cooler and 3X quieter performance.ASUS Aura Sync RGB lighting is capable of six lighting effects and millions of colors that allow you outshine the competition.VR Ready with 6GB of GDDR5 memory and dual HDMI ports  allowing simultaneous connections to VR headsets and displays.,298 mm,11.73" x 5.28",Dual Slot,Accessories:1 x CD1 x Quick Guide2 x ROG Velcro Hook & Loop,August 31  2018,None,1 x DL-DVI-D,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
489.99,MSI,None,RTX 2070 SUPER VENTUS OC,PCI Express 3.0 x16,NVIDIA,None,GeForce RTX 2070 SUPER,None,1785 MHz,2560,14 Gpbs,8GB,256-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,NVIDIA NVLINK (SLI-Ready)  2-way,Yes,Double Fans,215W,Recommended PSU: 650W,1 x 8-pin and 1 x 6-pin,2.2,TORX Fan 2.0:Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Afterburner Overclocking Utility:OC Scanner: An automated function finds the highest stable overclock settings.Kombustor: The latest DirectX versions benchmark supporting.Predator: In-game video recording.NVIDIA G-SYNC and HDR:Get smooth  tear-free gameplay at refresh rates up to 240 Hz  plus HDR  and more. This is the ultimate gaming display and the go-to equipment for enthusiast gamers.GeForce RTX VR:By combining advanced VR rendering  real-time ray tracing  and AI  GeForce RTX will take VR to a new level of realism.,257 mm,10.12" x 5.00",None,None,July 03  2019,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
339.99,MSI,None,RTX 2060 VENTUS XS 6G OC,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2060,None,1710 MHz,1920,14 Gbps,6GB,192-Bit,GDDR6,DirectX 12,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,None,7680 x 4320,None,Yes,Double Fans,160W,Recommended PSU: 500W,8-Pin,2.2,TORX Fan 2.0- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: DirectX12 benchmark.NVIDIA G-SYNC and HDR- Get smooth  tear-free gameplay at refresh rates up to 240 Hz  plus HDR  and more. This is the ultimate gaming display and the go-to equipment for enthusiast gamers.GeForce RTX VR- By combining advanced VR rendering  real-time ray tracing  and AI  GeForce RTX will take VR to a new level of realism.,205 mm,8.07" x 5.04",Dual Slot,None,March 05  2019,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
